Date,PCE,Federal Reserve Rate,FedRate Movement
1959-01-01,"306,091",2.48,0.0
1959-02-01,"309,554",2.43,-0.04999999999999982
1959-03-01,"312,702",2.8,0.36999999999999966
1959-04-01,"312,193",2.96,0.16000000000000014
1959-05-01,"316,130",2.9,-0.06000000000000005
1959-06-01,"318,193",3.39,0.4900000000000002
1959-07-01,"317,787",3.47,0.08000000000000007
1959-08-01,"320,161",3.5,0.029999999999999805
1959-09-01,"324,228",3.76,0.2599999999999998
1959-10-01,"322,794",3.98,0.2200000000000002
1959-11-01,"322,860",4.0,0.020000000000000018
1959-12-01,"322,871",3.99,-0.009999999999999787
1960-01-01,"323,603",3.99,0.0
1960-02-01,"325,338",3.97,-0.020000000000000018
1960-03-01,"330,150",3.84,-0.13000000000000034
1960-04-01,"336,482",3.92,0.08000000000000007
1960-05-01,"330,042",3.85,-0.06999999999999984
1960-06-01,"330,102",3.32,-0.5300000000000002
1960-07-01,"331,366",3.23,-0.08999999999999986
1960-08-01,"331,613",2.98,-0.25
1960-09-01,"333,397",2.6,-0.3799999999999999
1960-10-01,"335,398",2.47,-0.1299999999999999
1960-11-01,"335,366",2.44,-0.03000000000000025
1960-12-01,"331,307",1.98,-0.45999999999999996
1961-01-01,"332,178",1.45,-0.53
1961-02-01,"333,717",2.54,1.09
1961-03-01,"337,664",2.02,-0.52
1961-04-01,"337,639",1.49,-0.53
1961-05-01,"339,870",1.98,0.49
1961-06-01,"340,857",1.73,-0.25
1961-07-01,"340,560",1.17,-0.56
1961-08-01,"342,068",2.0,0.8300000000000001
1961-09-01,"344,368",1.88,-0.1200000000000001
1961-10-01,"346,499",2.26,0.3799999999999999
1961-11-01,"349,881",2.61,0.3500000000000001
1961-12-01,"352,398",2.33,-0.2799999999999998
1962-01-01,"353,161",2.15,-0.18000000000000016
1962-02-01,"353,951",2.37,0.2200000000000002
1962-03-01,"357,353",2.85,0.48
1962-04-01,"359,006",2.78,-0.07000000000000028
1962-05-01,"361,978",2.36,-0.41999999999999993
1962-06-01,"360,389",2.68,0.3200000000000003
1962-07-01,"361,358",2.71,0.029999999999999805
1962-08-01,"362,882",2.93,0.2200000000000002
1962-09-01,"368,757",2.9,-0.03000000000000025
1962-10-01,"366,548",2.9,0.0
1962-11-01,"371,684",2.94,0.040000000000000036
1962-12-01,"373,621",2.93,-0.009999999999999787
1963-01-01,"374,423",2.92,-0.010000000000000231
1963-02-01,"373,411",3.0,0.08000000000000007
1963-03-01,"375,016",2.98,-0.020000000000000018
1963-04-01,"376,350",2.9,-0.08000000000000007
1963-05-01,"377,205",3.0,0.10000000000000009
1963-06-01,"381,683",2.99,-0.009999999999999787
1963-07-01,"384,407",3.02,0.029999999999999805
1963-08-01,"386,287",3.49,0.4700000000000002
1963-09-01,"385,488",3.48,-0.010000000000000231
