Date,PCE,Federal Reserve Rate,FedRate Movement
1959-01-01,306091,2.48,0.0
1959-02-01,309554,2.43,-0.04999999999999982
1959-03-01,312702,2.8,0.36999999999999966
1959-04-01,312193,2.96,0.16000000000000014
1959-05-01,316130,2.9,-0.06000000000000005
1959-06-01,318193,3.39,0.4900000000000002
1959-07-01,317787,3.47,0.08000000000000007
1959-08-01,320161,3.5,0.029999999999999805
1959-09-01,324228,3.76,0.2599999999999998
1959-10-01,322794,3.98,0.2200000000000002
1959-11-01,322860,4.0,0.020000000000000018
1959-12-01,322871,3.99,-0.009999999999999787
1960-01-01,323603,3.99,0.0
1960-02-01,325338,3.97,-0.020000000000000018
1960-03-01,330150,3.84,-0.13000000000000034
1960-04-01,336482,3.92,0.08000000000000007
1960-05-01,330042,3.85,-0.06999999999999984
1960-06-01,330102,3.32,-0.5300000000000002
1960-07-01,331366,3.23,-0.08999999999999986
1960-08-01,331613,2.98,-0.25
1960-09-01,333397,2.6,-0.3799999999999999
1960-10-01,335398,2.47,-0.1299999999999999
1960-11-01,335366,2.44,-0.03000000000000025
1960-12-01,331307,1.98,-0.45999999999999996
1961-01-01,332178,1.45,-0.53
1961-02-01,333717,2.54,1.09
1961-03-01,337664,2.02,-0.52
1961-04-01,337639,1.49,-0.53
1961-05-01,339870,1.98,0.49
1961-06-01,340857,1.73,-0.25
1961-07-01,340560,1.17,-0.56
1961-08-01,342068,2.0,0.8300000000000001
1961-09-01,344368,1.88,-0.1200000000000001
1961-10-01,346499,2.26,0.3799999999999999
1961-11-01,349881,2.61,0.3500000000000001
1961-12-01,352398,2.33,-0.2799999999999998
1962-01-01,353161,2.15,-0.18000000000000016
1962-02-01,353951,2.37,0.2200000000000002
1962-03-01,357353,2.85,0.48
1962-04-01,359006,2.78,-0.07000000000000028
1962-05-01,361978,2.36,-0.41999999999999993
1962-06-01,360389,2.68,0.3200000000000003
1962-07-01,361358,2.71,0.029999999999999805
1962-08-01,362882,2.93,0.2200000000000002
1962-09-01,368757,2.9,-0.03000000000000025
1962-10-01,366548,2.9,0.0
1962-11-01,371684,2.94,0.040000000000000036
1962-12-01,373621,2.93,-0.009999999999999787
1963-01-01,374423,2.92,-0.010000000000000231
1963-02-01,373411,3.0,0.08000000000000007
1963-03-01,375016,2.98,-0.020000000000000018
1963-04-01,376350,2.9,-0.08000000000000007
1963-05-01,377205,3.0,0.10000000000000009
1963-06-01,381683,2.99,-0.009999999999999787
1963-07-01,384407,3.02,0.029999999999999805
1963-08-01,386287,3.49,0.4700000000000002
1963-09-01,385488,3.48,-0.010000000000000231
1963-10-01,386023,3.5,0.020000000000000018
1963-11-01,389440,3.48,-0.020000000000000018
1963-12-01,394684,3.38,-0.10000000000000009
1964-01-01,396783,3.48,0.10000000000000009
1964-02-01,400161,3.48,0.0
