Date,PCE
1984-01-01,2419379
1984-02-01,2403535
1984-03-01,2431581
1984-04-01,2457516
1984-05-01,2474478
1984-06-01,2495634
1984-07-01,2494602
1984-08-01,2512193
1984-09-01,2533775
1984-10-01,2531326
1984-11-01,2571438
1984-12-01,2582626
1985-01-01,2618764
1985-02-01,2640778
1985-03-01,2648481
1985-04-01,2659479
1985-05-01,2696421
1985-06-01,2689393
1985-07-01,2715697
1985-08-01,2752098
1985-09-01,2794650
1985-10-01,2755779
1985-11-01,2771148
1985-12-01,2811273
1986-01-01,2827130
1986-02-01,2820196
1986-03-01,2823619
1986-04-01,2835206
1986-05-01,2857488
1986-06-01,2861673
1986-07-01,2881188
1986-08-01,2898579
1986-09-01,2971835
1986-10-01,2932936
1986-11-01,2928413
1986-12-01,2997074
1987-01-01,2935534
1987-02-01,3001715
1987-03-01,3013291
1987-04-01,3038838
1987-05-01,3048401
1987-06-01,3072751
1987-07-01,3094743
1987-08-01,3130801
1987-09-01,3126529
1987-10-01,3134528
1987-11-01,3144166
1987-12-01,3174055
1988-01-01,3213729
1988-02-01,3221419
1988-03-01,3260540
1988-04-01,3262972
1988-05-01,3293642
1988-06-01,3318535
1988-07-01,3342733
1988-08-01,3367972
1988-09-01,3374992
1988-10-01,3413661
1988-11-01,3430226
1988-12-01,3459729
1989-01-01,3483745
1989-02-01,3488011
1989-03-01,3498760
1989-04-01,3542964
1989-05-01,3551782
1989-06-01,3566555
1989-07-01,3585694
1989-08-01,3620641
1989-09-01,3621864
1989-10-01,3633599
1989-11-01,3643294
1989-12-01,3684184
1990-01-01,3730696
1990-02-01,3728233
1990-03-01,3754915
1990-04-01,3769991
1990-05-01,3775774
1990-06-01,3804496
1990-07-01,3821712
1990-08-01,3848288
1990-09-01,3870100
1990-10-01,3870551
1990-11-01,3871877
1990-12-01,3861300
1991-01-01,3840994
1991-02-01,3866693
1991-03-01,3912999
1991-04-01,3907079
1991-05-01,3933221
1991-06-01,3940495
1991-07-01,3965995
1991-08-01,3969105
1991-09-01,3984708
1991-10-01,3976045
1991-11-01,4003572
1991-12-01,4020479
1992-01-01,4084653
1992-02-01,4099539
1992-03-01,4117009
1992-04-01,4131544
1992-05-01,4158382
1992-06-01,4177056
1992-07-01,4204795
1992-08-01,4220850
1992-09-01,4255267
1992-10-01,4284729
1992-11-01,4300488
1992-12-01,4336398
1993-01-01,4340707
1993-02-01,4355340
1993-03-01,4352498
1993-04-01,4393413
1993-05-01,4422366
1993-06-01,4439965
1993-07-01,4468940
1993-08-01,4481096
1993-09-01,4511530
1993-10-01,4532758
1993-11-01,4554053
1993-12-01,4571141
1994-01-01,4585136
1994-02-01,4632580
1994-03-01,4645953
1994-04-01,4671080
1994-05-01,4669499
1994-06-01,4708909
1994-07-01,4720620
1994-08-01,4762623
1994-09-01,4775041
1994-10-01,4812888
1994-11-01,4825640
1994-12-01,4841610
1995-01-01,4851170
1995-02-01,4850763
1995-03-01,4885374
1995-04-01,4890197
1995-05-01,4933127
1995-06-01,4977503
1995-07-01,4970175
1995-08-01,5005318
1995-09-01,5020492
1995-10-01,5013903
1995-11-01,5055565
1995-12-01,5097498
1996-01-01,5085738
1996-02-01,5132843
1996-03-01,5173265
1996-04-01,5207961
1996-05-01,5223759
1996-06-01,5229777
1996-07-01,5251905
1996-08-01,5275019
1996-09-01,5296591
1996-10-01,5328454
1996-11-01,5351191
1996-12-01,5378645
1997-01-01,5411132
1997-02-01,5433958
1997-03-01,5454224
1997-04-01,5459332
1997-05-01,5460234
1997-06-01,5494236
1997-07-01,5548827
1997-08-01,5587042
1997-09-01,5601667
1997-10-01,5637666
1997-11-01,5661056
1997-12-01,5692107
1998-01-01,5689906
1998-02-01,5723833
1998-03-01,5750287
1998-04-01,5788053
1998-05-01,5837943
1998-06-01,5871702
1998-07-01,5889962
1998-08-01,5924994
1998-09-01,5965584
1998-10-01,5998823
1998-11-01,6015365
1998-12-01,6070526
1999-01-01,6073864
1999-02-01,6099229
1999-03-01,6133027
1999-04-01,6199523
1999-05-01,6232102
1999-06-01,6260300
1999-07-01,6287552
1999-08-01,6331887
1999-09-01,6386490
1999-10-01,6411379
1999-11-01,6448690
1999-12-01,6541049
2000-01-01,6542870
2000-02-01,6625259
2000-03-01,6686521
2000-04-01,6679067
2000-05-01,6709732
2000-06-01,6746933
2000-07-01,6768501
2000-08-01,6802846
2000-09-01,6888604
2000-10-01,6893798
2000-11-01,6909824
2000-12-01,6952196
2001-01-01,6987401
2001-02-01,7001834
2001-03-01,6996658
2001-04-01,7004240
2001-05-01,7052781
2001-06-01,7069728
2001-07-01,7082297
2001-08-01,7121688
2001-09-01,7007024
2001-10-01,7212903
2001-11-01,7182323
2001-12-01,7166733
2002-01-01,7184624
2002-02-01,7225161
2002-03-01,7243358
2002-04-01,7312466
2002-05-01,7288903
2002-06-01,7322496
2002-07-01,7387293
2002-08-01,7412576
2002-09-01,7391538
2002-10-01,7435169
2002-11-01,7463805
2002-12-01,7519901
2003-01-01,7541283
2003-02-01,7548649
2003-03-01,7611549
2003-04-01,7634487
2003-05-01,7650333
2003-06-01,7699554
2003-07-01,7757004
2003-08-01,7852102
2003-09-01,7853674
2003-10-01,7867359
2003-11-01,7922591
2003-12-01,7950409
2004-01-01,8007115
2004-02-01,8040409
2004-03-01,8098806
2004-04-01,8107245
2004-05-01,8176470
2004-06-01,8157607
2004-07-01,8236938
2004-08-01,8271607
2004-09-01,8341461
2004-10-01,8397056
2004-11-01,8444456
2004-12-01,8504351
2005-01-01,8497691
2005-02-01,8559081
2005-03-01,8598432
2005-04-01,8678413
2005-05-01,8671645
2005-06-01,8753379
2005-07-01,8853777
2005-08-01,8850108
2005-09-01,8900382
2005-10-01,8938497
2005-11-01,8946242
2005-12-01,8981147
2006-01-01,9071617
2006-02-01,9095989
2006-03-01,9132854
2006-04-01,9191586
2006-05-01,9231759
2006-06-01,9259602
2006-07-01,9343801
2006-08-01,9342154
2006-09-01,9375362
2006-10-01,9393623
2006-11-01,9400206
2006-12-01,9488275
2007-01-01,9538721
2007-02-01,9565960
2007-03-01,9611732
2007-04-01,9643571
2007-05-01,9685806
2007-06-01,9706762
2007-07-01,9751141
2007-08-01,9798937
2007-09-01,9845072
2007-10-01,9882702
2007-11-01,9955924
2007-12-01,9972793
2008-01-01,9996400
2008-02-01,9981672
2008-03-01,10035263
2008-04-01,10070270
2008-05-01,10132271
2008-06-01,10187065
2008-07-01,10185092
2008-08-01,10175729
2008-09-01,10116413
2008-10-01,10034123
2008-11-01,9885231
2008-12-01,9801472
2009-01-01,9847249
2009-02-01,9824478
2009-03-01,9773181
2009-04-01,9772523
2009-05-01,9791553
2009-06-01,9852431
2009-07-01,9886264
2009-08-01,10004129
2009-09-01,9927825
2009-10-01,9976733
2009-11-01,9985676
2009-12-01,10052579
2010-01-01,10056058
2010-02-01,10093426
2010-03-01,10155982
2010-04-01,10182287
2010-05-01,10210816
2010-06-01,10231332
2010-07-01,10268126
2010-08-01,10307070
2010-09-01,10327066
2010-10-01,10386366
2010-11-01,10433573
2010-12-01,10470972
2011-01-01,10514256
2011-02-01,10540610
2011-03-01,10619719
2011-04-01,10652081
2011-05-01,10672199
2011-06-01,10694775
2011-07-01,10731621
2011-08-01,10750276
2011-09-01,10783189
2011-10-01,10802881
2011-11-01,10806828
2011-12-01,10817849
2012-01-01,10896780
2012-02-01,10987216
2012-03-01,10993908
2012-04-01,11018538
2012-05-01,11006796
2012-06-01,10989830
2012-07-01,11016846
2012-08-01,11056012
2012-09-01,11105323
2012-10-01,11137427
2012-11-01,11178433
2012-12-01,11181248
2013-01-01,11252374
2013-02-01,11290497
2013-03-01,11290121
2013-04-01,11281071
2013-05-01,11321560
2013-06-01,11344413
2013-07-01,11372550
2013-08-01,11406597
2013-09-01,11445929
2013-10-01,11498041
2013-11-01,11562480
2013-12-01,11593168
2014-01-01,11578798
2014-02-01,11636889
2014-03-01,11722315
2014-04-01,11762305
2014-05-01,11807312
2014-06-01,11861735
2014-07-01,11904353
2014-08-01,11983661
2014-09-01,11991354
2014-10-01,12064692
2014-11-01,12083888
2014-12-01,12096102
2015-01-01,12066664
2015-02-01,12116561
2015-03-01,12176065
2015-04-01,12209081
2015-05-01,12275406
2015-06-01,12307934
2015-07-01,12364885
2015-08-01,12396189
2015-09-01,12386409
2015-10-01,12394909
2015-11-01,12423153
2015-12-01,12451998
2016-01-01,12477959
2016-02-01,12554520
2016-03-01,12536989
2016-04-01,12611453
2016-05-01,12652685
2016-06-01,12731235
2016-07-01,12756654
2016-08-01,12788079
2016-09-01,12846646
2016-10-01,12867030
2016-11-01,12893010
2016-12-01,13005926
2017-01-01,13063650
2017-02-01,13088383
2017-03-01,13139886
2017-04-01,13169177
2017-05-01,13171862
2017-06-01,13225151
2017-07-01,13263299
2017-08-01,13294640
2017-09-01,13417255
2017-10-01,13447486
2017-11-01,13540626
2017-12-01,13666091
2018-01-01,13703270
2018-02-01,13738737
2018-03-01,13793215
2018-04-01,13838421
2018-05-01,13905023
2018-06-01,13930438
2018-07-01,13974828
2018-08-01,14013992
2018-09-01,14017778
2018-10-01,14083061
2018-11-01,14162941
2018-12-01,14051596
2019-01-01,14084585
2019-02-01,14117418
2019-03-01,14248569
2019-04-01,14289984
2019-05-01,14353322
2019-06-01,14408679
2019-07-01,14495969
2019-08-01,14558244
2019-09-01,14590632
2019-10-01,14617397
2019-11-01,14710955
2019-12-01,14774762
2020-01-01,14844290
2020-02-01,14833847
2020-03-01,13810544
2020-04-01,12234409
2020-05-01,13251701
2020-06-01,14040802
2020-07-01,14303831
2020-08-01,14454899
2020-09-01,14675370
2020-10-01,14725953
2020-11-01,14704904
2020-12-01,14827338
2021-01-01,15081525
2021-02-01,14984400
2021-03-01,15712357
2021-04-01,15914954
2021-05-01,15950527
2021-06-01,16183559
2021-07-01,16223480
2021-08-01,16390625
2021-09-01,16477524
2021-10-01,16693955
2021-11-01,16848981
2021-12-01,16905459
2022-01-01,17017812
2022-02-01,17136077
2022-03-01,17371426
2022-04-01,17493773
2022-05-01,17569866
2022-06-01,17747620
2022-07-01,17743986
2022-08-01,17897510
