Table 2.3.5U. Personal Consumption Expenditures by Major Type of Product and by Major Function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2.3.5U. Personal Consumption Expenditures by Major Type of Product and by Major Function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Last Revised on: November 27, 2024 - Next Release Date December 20, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1963,1963,1963,1963,1963,1963,1963,1963,1963,1963,1963,1963,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1968,1968,1968,1968,1968,1968,1968,1968,1968,1968,1968,1968,1969,1969,1969,1969,1969,1969,1969,1969,1969,1969,1969,1969,1970,1970,1970,1970,1970,1970,1970,1970,1970,1970,1970,1970,1971,1971,1971,1971,1971,1971,1971,1971,1971,1971,1971,1971,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972,1973,1973,1973,1973,1973,1973,1973,1973,1973,1973,1973,1973,1974,1974,1974,1974,1974,1974,1974,1974,1974,1974,1974,1974,1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1977,1977,1977,1977,1977,1977,1977,1977,1977,1977,1977,1977,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1982,1982,1982,1982,1982,1982,1982,1982,1982,1982,1982,1982,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983
Line,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
,Personal consumption expenditures by major type of product (From NIPA table 2.3.x):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,        Personal consumption expenditures (PCE),306091,309554,312702,312193,316130,318193,317787,320161,324228,322794,322860,322871,323603,325338,330150,336482,330042,330102,331366,331613,333397,335398,335366,331307,332178,333717,337664,337639,339870,340857,340560,342068,344368,346499,349881,352398,353161,353951,357353,359006,361978,360389,361358,362882,368757,366548,371684,373621,374423,373411,375016,376350,377205,381683,384407,386287,385488,386023,389440,394684,396783,400161,401801,402823,408431,411355,414912,417737,416618,419602,416359,421001,424440,431397,433297,437059,437625,435243,441033,444375,452006,458479,459054,461673,465158,470220,475031,476948,473094,475524,480562,483152,489159,488285,490050,491843,494203,492952,495797,501315,502243,506814,506708,509821,515622,512203,517400,525145,530934,533622,544333,544007,549783,556253,563156,567007,568203,571644,576748,576540,583479,588675,588862,593870,600271,600869,602700,609939,613239,618515,620476,622768,628728,633992,632334,636017,642427,646268,648472,652907,659068,658315,656559,665608,676149,679409,682000,688759,691134,699781,698881,704916,712999,715838,720940,728438,731497,736160,749188,752541,757962,761589,769918,776335,781143,794943,800451,806112,816471,825800,832750,835703,841581,844298,854131,853252,869246,868163,876880,876619,884533,889670,901400,910797,922436,928033,937949,954819,955059,959232,956186,961818,975602,989395,990575,995033,1018937,1026777,1039789,1046958,1054829,1060854,1075758,1092058,1107148,1107695,1114879,1125424,1122700,1140496,1149590,1157982,1168847,1176784,1188960,1211481,1214984,1231325,1238329,1247267,1257068,1263605,1280483,1285687,1294544,1311405,1326983,1336024,1329486,1355131,1377542,1396368,1411964,1425824,1426815,1446954,1452881,1466922,1480617,1496523,1502425,1517821,1531178,1538448,1558800,1575659,1586126,1615572,1633904,1641601,1657250,1666255,1697298,1701393,1708215,1695241,1700079,1718848,1747082,1763778,1780453,1817093,1826815,1851714,1870041,1884239,1902921,1904356,1913765,1934451,1942122,1966640,1965535,1963887,1970646,1988808,1997087,2021248,2024130,2026327,2044491,2048116,2072242,2080123,2104649,2125774,2149261,2161628,2173954,2177039,2202774,2226393,2245902,2276020,2304398,2320429,2334858,2357587,2366269,2393632
2,Goods,167411,169596,172162,170680,173326,173845,172707,174065,176799,174543,173678,172472,172841,174113,178226,183211,176004,175972,177041,177191,178276,179281,178164,173863,173918,175209,177797,176630,177750,178313,178043,179206,180278,180935,183022,184593,184687,184768,187148,187405,189019,186951,187343,188221,193015,190011,193759,195299,195821,194273,195047,195351,195830,198873,200155,200558,198891,198120,200579,204356,205136,207387,207415,207572,211951,213273,215957,217679,215127,217085,212527,215919,218314,224327,225386,227338,226476,222944,227314,229413,235580,240119,238854,240040,242745,246629,249844,250152,244845,245878,249270,251360,255650,253353,252958,252748,253944,252548,253938,257910,257524,260078,258127,259424,263875,259263,262876,268380,271025,272428,279729,277189,281285,284085,289499,291363,290297,291647,294493,292359,297412,300043,299078,301210,304014,302767,303248,307992,308609,310629,309974,311160,313784,315002,313499,314651,318333,319679,319681,321459,324041,322258,318612,324529,333744,333698,334197,338365,337463,343632,340213,342569,348817,348451,351249,352989,353755,355882,363595,365056,369895,370153,374608,377828,380591,389773,391265,393383,401814,408082,411907,411850,413985,412207,420027,416089,426033,422634,428184,426812,431742,434040,440734,444264,450545,450990,457792,469617,464566,462518,456909,454741,463987,470861,469130,468200,486906,489517,498632,502859,506765,503730,513622,521801,530491,530169,531540,538882,532574,545453,547619,549639,554100,558259,561480,575450,572316,581809,587069,590902,593199,594678,601547,603177,606981,615904,627269,629756,615444,629740,642540,652308,662687,668002,665980,676152,674949,682193,691779,701024,699483,708312,715809,711768,723765,730968,737328,755566,766941,762051,770064,773195,793785,793143,789076,777519,774952,781022,797015,803337,805234,824312,825447,832681,849682,861633,868958,863176,860328,867849,871720,890157,881279,870680,870638,876320,878257,892706,887914,882359,895408,886076,900319,895597,909561,910585,923048,929655,923367,919707,934658,947027,961565,979304,989705,989369,993320,1007469,1012388,1027519
3,    Durable goods,42295,44207,44445,45065,45359,45971,45408,46189,47410,44791,44712,42807,43229,45748,47389,49116,45730,44457,44854,45765,47149,46679,45057,42333,41606,41919,43195,42733,43457,43770,44146,44597,44996,45623,46700,47726,47525,47378,48204,48430,49568,49142,49161,49001,50538,49029,52087,53523,53063,52407,52298,53213,53450,54981,55459,54064,54580,54170,55612,57435,57938,58442,57605,58152,59664,60613,61643,62144,60346,61245,58910,57976,61015,65375,68356,67331,65143,61981,63500,66000,70600,69486,69087,68806,70212,72286,74438,72469,68688,68005,69566,72268,75136,73377,72259,72241,72459,69850,70995,74319,73966,75165,74425,73646,76026,74114,75126,77684,79728,79472,83377,81427,84017,83808,86932,87631,88070,88124,87465,87888,90129,90765,89138,90405,90464,90475,88638,90658,92589,91438,90662,90433,89303,90983,88548,89977,91158,91885,91363,92325,92345,89719,85151,87102,97436,97169,99550,100291,99649,103025,101068,102239,107020,107215,107284,107405,110526,109285,112300,112859,114520,114818,116627,118261,117886,122044,123397,124809,129282,131854,134299,132486,133275,128124,130084,128625,133692,129284,129070,126250,126697,124781,128480,129019,131960,130769,133390,140873,134710,131012,125393,125039,129541,134797,131023,131981,138125,139972,144998,145423,149942,147982,153247,158946,161221,164160,164511,167622,162194,167883,169692,168689,171152,170913,173245,182209,177810,184060,189923,188852,188579,190238,191717,194205,196055,197128,200813,204178,191238,198523,204743,213489,216969,218103,215252,221847,213121,220330,222327,224239,220543,223984,225307,222654,224355,219293,226043,231341,235411,228264,228981,229901,239583,232935,223647,212350,208522,214878,226688,223958,225442,236285,236703,235704,239899,247343,250898,241690,239765,241351,245207,260392,250176,237256,236954,236323,241002,249303,249012,244854,256797,246028,247762,248589,259970,254134,268086,270846,268310,266842,271571,281694,288823,298234,303363,301169,302552,313652,315864,328294
4,        Motor vehicles and parts,16904,18467,18900,19436,19315,19254,19349,19906,20963,18211,18343,16420,16938,19410,21681,21903,19735,18189,18908,20063,21420,20411,19405,16921,16113,16293,17018,16929,17132,17320,17580,17884,18146,18645,19352,20252,20084,20359,20592,20786,21519,21603,21185,20843,21408,20559,23239,24455,23963,23394,22963,23615,23950,25094,25142,23853,24138,23485,25174,26181,26670,25688,24554,25079,26064,26486,27507,27544,26271,26862,24510,22389,26036,30074,33300,31820,29072,26203,26942,29512,32927,30813,29785,29256,29822,31868,33448,31748,28295,26157,27320,29456,32262,30535,29301,28912,29238,26579,27546,30433,30016,31093,30717,29435,30570,29298,28940,31347,33337,32607,35201,33249,35521,34568,36384,36550,37524,37457,35803,36767,38304,37960,36682,37169,37086,37136,35682,37802,39535,38484,37726,35810,34407,36131,34239,35449,36039,37237,36091,36623,36533,32800,28748,30159,40608,40071,42252,42368,41613,43533,42228,42195,46641,46465,45916,44906,46876,45724,47651,47911,48669,48716,49115,50277,49339,51535,52973,53594,55496,56595,59120,57164,57919,52420,54156,52300,55658,51378,51015,49075,47775,45957,47345,47286,48779,48356,49673,56179,50551,47925,43551,44615,46024,50365,46570,46667,48928,50056,55085,54157,57259,56000,58949,61657,63575,66769,67051,68597,64519,67768,69120,67326,69680,67487,70159,76013,75991,77766,81099,78157,78173,79858,78697,80109,80831,80602,82074,84196,76471,80323,84610,91184,92447,93697,90485,96047,87007,92742,92705,92355,91908,93140,92992,89177,89318,81864,89613,90982,94808,88178,88822,91297,98338,91417,85550,75621,71292,77168,86151,84039,82279,88298,86474,86538,91105,98425,100671,89889,89783,89810,91589,106664,98046,86730,87360,86121,93429,99728,98378,93254,104679,92816,93688,95986,106283,99262,111426,111238,105926,105406,106742,116467,120357,127823,129403,126622,125242,134051,132741,144566
5,        Furnishings and durable household equipment,15019,15286,15124,15224,15465,15954,15526,15659,15757,15834,15719,15646,15545,15721,15300,16147,15391,15589,15363,15224,15190,15544,15070,15007,14985,15095,15478,15215,15482,15538,15608,15702,15745,15823,16045,16145,16121,15839,16229,16187,16415,16116,16326,16478,17095,16546,16809,16926,17331,16857,16981,17229,17069,17404,17582,17643,17897,18044,17847,18241,18371,19191,19146,19291,19443,19841,19631,19915,19536,19846,19672,20320,20011,20019,19758,19981,20452,20115,20662,20490,21053,21643,21917,21830,22163,21985,22385,22175,21874,22602,23041,23192,23053,23108,23032,23108,23195,23396,23143,23576,23448,23676,23504,23545,24236,23616,24344,24475,24530,25020,25201,25472,25718,26122,26717,27070,26674,26683,27043,26819,26863,27542,27485,27745,27933,27875,27673,27422,27523,27382,27522,28099,28141,27729,27439,27995,28146,27859,27939,28196,28199,28694,28602,28880,28877,29001,29185,29279,29289,29934,29858,30188,30431,30667,31211,31399,32258,32044,32514,32462,32865,33119,33719,33967,34248,35134,35068,34869,36438,37552,37346,37455,37617,38051,37923,37953,38602,38495,39083,39014,39908,39734,40727,40991,41660,41023,41685,41980,41760,41165,40436,39617,40827,41010,40702,40680,42525,42613,42630,43001,43817,43573,44890,45076,45586,45976,45979,46609,45823,46792,46870,47553,47830,48480,48928,49638,49426,51373,52586,52884,52308,52480,53921,53899,53891,54969,55860,56665,54243,55575,56147,58280,59318,59503,59330,59786,60432,60804,61679,62955,62016,62187,63427,63512,64357,65144,65847,67432,67325,67278,67353,67174,67748,68032,66558,65758,66219,65936,67190,67082,67778,70034,71390,70397,71005,71655,71693,71728,71298,72389,72010,72000,71987,70650,70632,70484,69085,70640,70553,71220,71258,71375,72373,71474,71928,73014,73397,75411,75677,75236,77337,76722,77962,78905,80565,81131,82009,83293,84225,84181
6,        Recreational goods and vehicles,6258,6328,6284,6280,6373,6470,6320,6389,6466,6416,6406,6438,6462,6367,6247,6619,6399,6403,6336,6271,6263,6400,6361,6243,6281,6284,6491,6421,6528,6604,6649,6691,6697,6696,6807,6811,6798,6643,6720,6748,6912,6843,6955,6968,7186,7137,7197,7214,6961,7370,7493,7504,7569,7561,7804,7588,7588,7729,7657,7953,7897,8320,8486,8588,8718,8772,8908,9009,8940,8906,9145,9559,9224,9390,9531,9873,9781,9815,9876,10043,10579,10792,10988,11145,11291,11531,11709,11759,11746,12261,12276,12686,12897,12856,13043,13281,13131,12996,13246,13175,13283,13314,13071,13636,14038,14049,14514,14477,14436,14504,15244,14848,14853,15101,15735,15815,15675,15698,16157,15941,16341,16526,16364,16670,16718,16818,16582,16731,16893,16864,16738,17541,17789,17939,17789,17577,17750,17565,17906,17913,17983,18475,18108,18296,18237,18391,18428,18800,18945,19363,18850,19589,19598,19762,19784,20617,20981,21079,21514,21813,22196,22074,22859,22993,23072,23971,23802,24740,25369,25508,25545,25335,25033,24911,25037,25468,26105,25942,25340,24560,25089,25220,26290,26235,26811,26810,27236,27810,27669,27114,26574,26166,27352,27856,28148,29142,30514,30882,30636,31271,31425,31138,31895,34089,33618,33091,33156,33681,33173,34144,34373,34249,34196,35223,34630,36529,34619,36202,36745,37582,37531,36802,37606,38339,39182,38594,39502,40056,38572,40216,41351,41028,42024,41594,41942,42041,41103,42899,43393,44250,43154,45161,45100,45879,45804,47291,45325,47007,46961,46508,46457,45369,45894,46242,44482,44447,44409,45060,46149,45668,47784,49195,49452,49103,48605,47603,49386,50360,49170,49397,51239,51791,50464,50410,49799,50318,49519,49507,50752,50235,51276,51847,51734,51161,51708,51527,52700,53472,54732,54493,55384,55791,57632,58189,59379,59290,60412,61107,63142,64309
7,        Other durable goods,4114,4125,4137,4125,4205,4293,4213,4235,4224,4330,4244,4304,4284,4250,4161,4447,4205,4277,4247,4207,4275,4324,4221,4162,4227,4246,4208,4168,4315,4307,4310,4319,4408,4459,4495,4518,4522,4536,4663,4708,4721,4581,4695,4712,4849,4787,4842,4928,4808,4785,4861,4865,4862,4921,4932,4981,4957,4913,4934,5061,5001,5244,5419,5194,5439,5514,5596,5675,5599,5631,5583,5707,5745,5892,5767,5657,5839,5847,6021,5955,6041,6238,6397,6576,6937,6901,6896,6786,6774,6985,6929,6933,6924,6878,6883,6940,6896,6880,7060,7135,7218,7082,7133,7030,7181,7152,7328,7385,7425,7340,7731,7858,7924,8016,8096,8196,8197,8285,8462,8361,8621,8737,8608,8821,8728,8647,8701,8702,8638,8708,8677,8983,8966,9185,9081,8955,9222,9223,9427,9593,9631,9750,9693,9767,9714,9705,9685,9844,9802,10196,10132,10266,10350,10322,10374,10483,10412,10438,10621,10672,10790,10909,10934,11023,11227,11403,11553,11606,11979,12200,12288,12531,12706,12742,12968,12905,13326,13470,13631,13601,13924,13870,14118,14507,14711,14580,14795,14905,14730,14808,14832,14641,15337,15566,15602,15493,16158,16420,16646,16995,17441,17271,17513,18124,18442,18324,18325,18736,18678,19179,19330,19560,19447,19723,19528,20029,17775,18718,19493,20229,20568,21098,21493,21858,22151,22963,23378,23261,21953,22408,22636,22998,23181,23309,23495,23973,24579,23885,24549,24679,23464,23496,23789,24086,24876,24994,25259,25920,26317,26299,26349,26061,27603,27244,27057,26524,26603,26715,27198,27169,27601,28757,29386,29665,29184,29661,29149,29712,29515,29756,30369,29937,29680,29467,29163,29399,28970,29428,29328,30146,29583,29989,29966,29968,30051,30332,30564,30724,31975,31707,32109,32714,32871,33317,34016,34126,34890,35202,35756,35238
